GMT,CFDM1,CFDM1
,QME,SQME
1961-10-01 00:00:00,4.049268,-999.0
1961-10-02 00:00:00,3.454603,14.389912
1961-10-03 00:00:00,3.058363,41.22755
1961-10-04 00:00:00,3.454603,64.13723
1961-10-05 00:00:00,14.016837,97.23119
1961-10-06 00:00:00,25.7684,103.84078
1961-10-07 00:00:00,20.614536,86.0429
1961-10-08 00:00:00,13.903451,66.00901
1961-10-09 00:00:00,9.854183,49.715923
1961-10-10 00:00:00,7.9854546,36.882015
1961-10-11 00:00:00,6.852818,27.587751
1961-10-12 00:00:00,5.7765694,22.063862
1961-10-13 00:00:00,5.0121307,18.82079
1961-10-14 00:00:00,4.5872397,16.704563
1961-10-15 00:00:00,4.1626534,15.1830015
1961-10-16 00:00:00,4.7006254,21.176283
1961-10-17 00:00:00,10.732007,35.25713
1961-10-18 00:00:00,11.751563,39.167713
1961-10-19 00:00:00,10.194036,33.11652
1961-10-20 00:00:00,8.806586,26.939137
1961-10-21 00:00:00,7.730642,22.22754
1961-10-22 00:00:00,6.9375525,18.208447
1961-10-23 00:00:00,6.0597286,15.105277
1961-10-24 00:00:00,5.3236365,13.238378
1961-10-25 00:00:00,4.870399,12.042953
1961-10-26 00:00:00,4.757318,11.1364765
1961-10-27 00:00:00,4.530547,10.378439
1961-10-28 00:00:00,4.4458127,9.690201
1961-10-29 00:00:00,4.275734,9.078773
1961-10-30 00:00:00,4.1059604,8.554821
1961-10-31 00:00:00,3.992575,8.070189
1961-11-01 00:00:00,4.049268,7.609941
1961-11-02 00:00:00,4.1626534,7.19267
1961-11-03 00:00:00,4.1626534,6.8354445
1961-11-04 00:00:00,3.8794942,6.4925447
1961-11-05 00:00:00,3.7094157,6.17921
1961-11-06 00:00:00,3.652723,6.6275706
1961-11-07 00:00:00,5.9466476,17.556784
1961-11-08 00:00:00,19.397165,34.64204
1961-11-09 00:00:00,30.015787,43.989037
1961-11-10 00:00:00,27.750515,36.503456
1961-11-11 00:00:00,21.180855,28.892296
1961-11-12 00:00:00,15.37594,23.162056
1961-11-13 00:00:00,12.147803,18.624804
1961-11-14 00:00:00,10.364114,15.01841
1961-11-15 00:00:00,10.108996,13.778788
1961-11-16 00:00:00,11.751563,15.753892
1961-11-17 00:00:00,10.930432,14.588946
1961-11-18 00:00:00,10.108996,14.032382
1961-11-19 00:00:00,9.741102,14.112544
1961-11-20 00:00:00,9.146438,12.713817
1961-11-21 00:00:00,7.9004154,11.263274
1961-11-22 00:00:00,8.891625,20.753527
1961-11-23 00:00:00,20.04822,54.57139
1961-11-24 00:00:00,22.511917,53.46984
1961-11-25 00:00:00,20.18995,45.258835
